"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-04","13.65","0.00",,"0.0","0.0",,"32","24",,,,,,,,,,,,,,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-05","13.65","0.00",,"0.0","0.0",,"33","24",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-06","14.09","0.00",,"0.0","0.0",,"38","28",,,,,,,,,,,,,,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-07","10.29","0.00",,"0.0","0.0",,"40","29",,,,,,,,,,,,,,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-08","12.08","0.03",,"1.0","1.0",,"33","24",,"    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-09","13.87","0.00",,"0.0","0.0",,"30","19",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-10","10.29","0.00",,"0.0","0.0",,"30","15",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-11","8.05","0.00",,"0.0","0.0",,"33","16",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-12","11.18","0.00",,"0.0","0.0",,"35","27",,,,,,,,,,,,,,,,,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-13","9.40","0.00",,"0.0","0.0",,"38","26",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-14","4.70","0.00",,"0.0","0.0",,"47","24",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-15","7.61","0.00",,"0.0","0.0",,"53","27",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-16","7.83","0.00",,"0.0","0.0",,"53","32",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-17","8.72","0.76",,"0.0","0.0",,"44","34",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-18","9.84","0.00",,"0.0","0.0",,"53","34",,"    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-19","3.13","0.00",,"0.0","0.0",,"51","30",,"    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-20","7.61","0.00",,"0.0","0.0",,"44","30",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-21","5.14","0.00",,"0.0","0.0",,"43","29",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-22","9.62","0.00",,"0.0","0.0",,"45","33",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-23","5.82","0.00",,"0.0","0.0",,"43","29",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-24","7.16","0.02",,"0.0","0.0",,"57","30",,,,,,"    1",,,,,,,,,"    1",,,,
